ID,본문,소제목,제목,저자,annotator01,annotator02,annotator03,annotator04
101,담은 쇠문을 굳게 담아,,길,윤동주,"비장함, 없음","비장함, 없음","부담/안_내킴, 불안/걱정, 슬픔, 안타까움/실망, 의심/불신, 패배/자기혐오, 힘듦/지침","당황/난처, 안타까움/실망, 절망"
102,길 위에 긴 그림자를 드리우고,,길,윤동주,"공포/무서움, 슬픔, 안타까움/실망, 불안/걱정, 패배/자기혐오, 절망","불안/걱정, 공포/무서움, 서러움, 슬픔, 힘듦/지침","부끄러움, 부담/안_내킴, 불쌍함/연민, 불안/걱정, 슬픔, 안타까움/실망, 절망","불안/걱정, 절망, 안타까움/실망, 힘듦/지침"
103,길은 아침에서 저녁으로,,길,윤동주,"없음, 신기함/관심, 기대감","기대감, 환영/호의, 뿌듯함",없음,"감동/감탄, 편안/쾌적, 행복"
104,저녁에서 아침으로 통했습니다.,,길,윤동주,없음,"감동/감탄, 놀람, 깨달음, 뿌듯함, 기쁨, 즐거움/신남",없음,"기대감, 기쁨"
105,돌담을 더듬어 눈물짓다,,길,윤동주,"슬픔, 서러움","슬픔, 서러움, 힘듦/지침","깨달음, 당황/난처, 놀람, 부담/안_내킴, 불안/걱정","슬픔, 힘듦/지침, 패배/자기혐오"
106,쳐다 보면 하늘은 부끄럽게 푸릅니다.,,길,윤동주,"부끄러움, 감동/감탄, 환영/호의","부끄러움, 감동/감탄, 서러움, 슬픔, 죄책감","당황/난처, 부끄러움, 불안/걱정","부끄러움, 힘듦/지침, 슬픔"
107,풀 한 포기 없는 이 길을 걷는 것은,,길,윤동주,"불안/걱정, 슬픔","불안/걱정, 비장함, 안타까움/실망, 죄책감, 힘듦/지침","공포/무서움, 당황/난처, 부담/안_내킴, 불안/걱정","불안/걱정, 절망, 슬픔, 서러움"
108,담 저 쪽에 내가 남아 있는 까닭이고,,길,윤동주,"불안/걱정, 깨달음, 안타까움/실망, 패배/자기혐오","불안/걱정, 깨달음, 안타까움/실망, 패배/자기혐오, 서러움","당황/난처, 부끄러움, 부담/안_내킴, 안타까움/실망","비장함, 안심/신뢰"
109,내가 사는 것은 다만,,길,윤동주,"비장함, 없음",비장함,"불쌍함/연민, 안타까움/실망","비장함, 힘듦/지침, 슬픔"
110,잃은 것을 찾는 까닭입니다. (1941.9.31),,길,윤동주,"불안/걱정, 당황/난처, 슬픔, 패배/자기혐오","불안/걱정, 슬픔, 패배/자기혐오, 깨달음, 서러움, 힘듦/지침","비장함, 없음","기대감, 불안/걱정, 절망, 슬픔, 힘듦/지침"
111,세상으로부터 돌아오듯이 이제 내 좁은방에 돌아와 불을 끄옵니다.,,돌아와 보는 밤,윤동주,"고마움, 편안/쾌적, 힘듦/지침, 뿌듯함","편안/쾌적, 힘듦/지침, 기쁨, 서러움, 안심/신뢰","불쌍함/연민, 서러움, 슬픔, 죄책감, 패배/자기혐오, 힘듦/지침","힘듦/지침, 편안/쾌적"
112,불을 켜 두는 것은 너무나 피로롭은 일이옵니다.,,돌아와 보는 밤,윤동주,"지긋지긋, 힘듦/지침, 부담/안_내킴, 짜증","지긋지긋, 힘듦/지침, 부담/안_내킴, 불안/걱정, 서러움, 슬픔","힘듦/지침, 귀찮음, 당황/난처, 부담/안_내킴, 불평/불만","부담/안_내킴, 힘듦/지침"
113,그것은 낮의 연장(延長)이옵기에-,,돌아와 보는 밤,윤동주,"깨달음, 아껴주는, 뿌듯함, 신기함/관심","깨달음, 불안/걱정, 서러움, 힘듦/지침, 기대감","신기함/관심, 깨달음","안심/신뢰, 신기함/관심, 환영/호의"
114,이제 창窓을 열어 공기(空氣)를 바꾸어 들여야 할터인데,,돌아와 보는 밤,윤동주,"불안/걱정, 지긋지긋, 의심/불신","불안/걱정, 당황/난처, 귀찮음, 불평/불만, 서러움, 안타까움/실망, 힘듦/지침","귀찮음, 부담/안_내킴, 불안/걱정, 슬픔, 힘듦/지침","기대감, 비장함, 환영/호의"
115,밖을 가만히 내다 보아야 방(房)안과 같이 어두어 꼭 세상 같은데,,돌아와 보는 밤,윤동주,"절망, 서러움, 부담/안_내킴, 슬픔, 불안/걱정","절망, 서러움, 부담/안_내킴, 슬픔, 불안/걱정, 깨달음, 의심/불신","불안/걱정, 안타까움/실망","불평/불만, 안타까움/실망, 절망"
116,비를 맞고 오던 길이 그대로 비속에 젖어 있사옵니다.,,돌아와 보는 밤,윤동주,"슬픔, 서러움, 불쌍함/연민, 안타까움/실망, 지긋지긋","슬픔, 서러움, 불쌍함/연민, 안타까움/실망, 불안/걱정, 신기함/관심, 아껴주는, 죄책감","당황/난처, 불안/걱정, 슬픔","슬픔, 힘듦/지침, 안타까움/실망"
117,하로의 울분을 씻을바 없어 가만히 눈을 감으면,,돌아와 보는 밤,윤동주,"슬픔, 서러움, 힘듦/지침","슬픔, 서러움, 힘듦/지침, 짜증, 패배/자기혐오, 화남/분노, 안타까움/실망","힘듦/지침, 귀찮음, 불평/불만, 화남/분노","서러움, 슬픔, 절망, 힘듦/지침"
118,"마음속으로 흐르는 소리,",,돌아와 보는 밤,윤동주,"신기함/관심, 감동/감탄, 없음","깨달음, 감동/감탄, 없음","감동/감탄, 깨달음","불안/걱정, 서러움, 슬픔, 힘듦/지침"
119,"이제,",,돌아와 보는 밤,윤동주,없음,없음,없음,"슬픔, 편안/쾌적"
120,사상(思想)이 능금처럼 저절로 익어 가옵니다.,,돌아와 보는 밤,윤동주,"뿌듯함, 기쁨, 기대감","뿌듯함, 기쁨, 기대감, 환영/호의, 즐거움/신남, 아껴주는, 안심/신뢰","비장함, 흐뭇함(귀여움/예쁨)","감동/감탄, 기대감, 기쁨, 깨달음, 아껴주는, 안심/신뢰, 즐거움/신남, 행복"
121,어제도 가고 오늘도 갈,,새로운 길,윤동주,기대감,"기대감, 뿌듯함, 안심/신뢰",없음,"감동/감탄, 기대감, 기쁨, 신기함/관심, 아껴주는, 행복"
122,나의 길 새로운 길,,새로운 길,윤동주,"즐거움/신남, 기대감","기대감, 뿌듯함, 안심/신뢰",기대감,"감동/감탄, 기대감, 기쁨, 신기함/관심, 아껴주는, 즐거움/신남, 환영/호의"
123,민들레가 피고 까치가 날고,,새로운 길,윤동주,"흐뭇함(귀여움/예쁨), 신기함/관심, 없음","흐뭇함(귀여움/예쁨), 신기함/관심, 없음, 기대감, 아껴주는, 즐거움/신남","기대감, 기쁨, 신기함/관심","감동/감탄, 기대감, 기쁨, 환영/호의, 행복"
124,아가씨가 지나고 바람이 일고,,새로운 길,윤동주,"신기함/관심, 없음","신기함/관심, 없음, 기대감, 불안/걱정","불쌍함/연민, 부담/안_내킴, 슬픔, 안타까움/실망","기대감, 기쁨, 신기함/관심, 즐거움/신남, 행복, 환영/호의"
125,나의 길은 언제나 새로운 길,,새로운 길,윤동주,"즐거움/신남, 기대감","즐거움/신남, 기대감, 뿌듯함, 기쁨","기대감, 환영/호의","감동/감탄, 기대감, 기쁨, 환영/호의, 즐거움/신남"
126,오늘도... 내일도 ...,,새로운 길,윤동주,"지긋지긋, 없음","지긋지긋, 서러움, 힘듦/지침","부담/안_내킴, 불평/불만, 안타까움/실망","기대감, 비장함, 환영/호의"
127,내를 건너서 숲으로,,새로운 길,윤동주,"즐거움/신남, 기대감","즐거움/신남, 기대감, 신기함/관심","기대감, 즐거움/신남, 편안/쾌적","행복, 환영/호의, 기대감, 기쁨"
128,고개를 넘어서 마을로,,새로운 길,윤동주,"기대감, 즐거움/신남","기대감, 즐거움/신남, 불안/걱정",없음,"감동/감탄, 기쁨, 기대감, 행복, 환영/호의"
129,봄날 아침도 아니고,,태초의 아침,윤동주,"기대감, 안타까움/실망","안타까움/실망, 불안/걱정, 불평/불만, 서러움","신기함/관심, 안타까움/실망","기대감, 기쁨, 신기함/관심"
130,"여름, 가을, 겨울,",,태초의 아침,윤동주,없음,없음,"신기함/관심, 없음",없음
131,그런 날 아침도 아닌 아침에,,태초의 아침,윤동주,"불안/걱정, 부담/안_내킴, 지긋지긋",불안/걱정,부담/안_내킴,"절망, 불안/걱정, 불평/불만, 힘듦/지침"
132,"빠알간 꽃이 피어났네,",,태초의 아침,윤동주,"신기함/관심, 흐뭇함(귀여움/예쁨), 뿌듯함","신기함/관심, 흐뭇함(귀여움/예쁨), 놀람","감동/감탄, 깨달음, 아껴주는, 흐뭇함(귀여움/예쁨)","기대감, 기쁨, 행복"
133,"햇빛이 프른데,",,태초의 아침,윤동주,"신기함/관심, 편안/쾌적","신기함/관심, 편안/쾌적, 기대감, 불안/걱정",없음,"감동/감탄, 기대감, 기쁨, 행복"
134,그 전날 밤에,,태초의 아침,윤동주,없음,"없음, 불안/걱정",없음,"비장함, 기대감, 기쁨, 불안/걱정"
135,"모든것이 마련되었네,",,태초의 아침,윤동주,"안심/신뢰, 뿌듯함, 기대감","안심/신뢰, 뿌듯함, 기대감, 기쁨","기대감, 기쁨","감동/감탄, 기대감, 기쁨, 비장함"
136,사랑은 뱀과 함께,,태초의 아침,윤동주,"의심/불신, 불안/걱정","불안/걱정, 깨달음, 슬픔","놀람, 당황/난처, 역겨움/징그러움","기대감, 놀람, 당황/난처, 불안/걱정"
137,독(毒)은 어린꽃과 함께.,,태초의 아침,윤동주,"불안/걱정, 의심/불신","깨달음, 비장함, 불안/걱정","부담/안_내킴, 의심/불신","불안/걱정, 공포/무서움, 의심/불신"
138,하얗게 눈이 덮이었고,,또 태초의 아침,윤동주,없음,"없음, 기대감, 환영/호의",없음,"감동/감탄, 기대감, 기쁨, 편안/쾌적, 행복"
139,전신주(電信柱)가 잉잉 울어,,또 태초의 아침,윤동주,"슬픔, 불안/걱정","불안/걱정, 슬픔","당황/난처, 불쌍함/연민, 서러움, 슬픔, 안타까움/실망","당황/난처, 놀람, 불안/걱정, 의심/불신"
140,하나님 말씀이 들려온다.,,또 태초의 아침,윤동주,"존경, 감동/감탄, 신기함/관심","존경, 감동/감탄, 신기함/관심, 기쁨, 비장함, 안심/신뢰, 환영/호의, 행복","감동/감탄, 기대감, 안심/신뢰, 존경","기대감, 비장함, 안심/신뢰, 신기함/관심"
141,무슨 계시(啓示)일까.,,또 태초의 아침,윤동주,"의심/불신, 불안/걱정, 당황/난처, 부담/안_내킴, 기대감, 기쁨, 깨달음","불안/걱정, 당황/난처, 부담/안_내킴, 기대감, 기쁨, 깨달음, 서러움, 신기함/관심","기대감, 당황/난처, 신기함/관심","기대감, 불안/걱정, 비장함, 신기함/관심"
142,빨리,,또 태초의 아침,윤동주,기대감,"기대감, 불안/걱정","기대감, 없음","기대감, 기쁨, 행복"
143,봄이 오면,,또 태초의 아침,윤동주,"기대감, 없음, 즐거움/신남","기대감, 없음, 환영/호의, 기쁨","기대감, 기쁨, 즐거움/신남","감동/감탄, 기쁨, 기대감, 행복"
144,죄(罪)를 짓고,,또 태초의 아침,윤동주,죄책감,"죄책감, 서러움","부담/안_내킴, 불평/불만, 서러움","깨달음, 비장함"
145,눈이,,또 태초의 아침,윤동주,없음,없음,없음,"깨달음, 비장함"
146,밝아,,또 태초의 아침,윤동주,"놀람, 감동/감탄, 신기함/관심","감동/감탄, 신기함/관심, 놀람","기쁨, 없음","감동/감탄, 기대감, 기쁨, 신기함/관심, 행복"
147,이브가 해산(解産)하는 수고를 다하면,,또 태초의 아침,윤동주,"존경, 뿌듯함, 기대감, 기쁨, 신기함/관심","존경, 기대감, 비장함, 서러움","기대감, 비장함","비장함, 감동/감탄, 기대감"
148,무화과(無花果) 잎사귀로 부끄런 데를 가리고,,또 태초의 아침,윤동주,부끄러움,"부끄러움, 불안/걱정, 서러움","당황/난처, 부끄러움","당황/난처, 부끄러움, 놀람"
149,나는 이마에 땀을 흘려야겠다.,,또 태초의 아침,윤동주,"비장함, 뿌듯함","비장함, 뿌듯함, 기대감, 안심/신뢰","기대감, 비장함, 힘듦/지침","기대감, 비장함, 즐거움/신남"
150,다들 죽어가는 사람들에게,,새벽이 올 때까지,윤동주,"비장함, 아껴주는, 불쌍함/연민, 안타까움/실망","아껴주는, 불쌍함/연민, 안타까움/실망, 불안/걱정, 서러움, 슬픔, 죄책감","당황/난처, 부담/안_내킴, 불쌍함/연민, 불안/걱정, 비장함, 안타까움/실망, 절망","불쌍함/연민, 안타까움/실망, 슬픔"
151,검은 옷을 입히시오.,,새벽이 올 때까지,윤동주,없음,"없음, 불안/걱정",신기함/관심,"비장함, 슬픔, 절망"
152,다들 살아가는 사람들에게,,새벽이 올 때까지,윤동주,"불쌍함/연민, 없음",없음,"기대감, 불쌍함/연민, 안타까움/실망","감동/감탄, 기대감, 기쁨, 비장함, 뿌듯함"
153,흰 옷을 입히시오.,,새벽이 올 때까지,윤동주,"비장함, 없음","비장함, 없음","기대감, 기쁨, 비장함, 아껴주는","기대감, 비장함, 환영/호의, 행복"
154,그리고 한 침실(寢室)에,,새벽이 올 때까지,윤동주,없음,"없음, 기대감",없음,"불안/걱정, 힘듦/지침"
155,가지런히 잠을 재우시오,,새벽이 올 때까지,윤동주,"편안/쾌적, 귀찮음","편안/쾌적, 아껴주는, 불안/걱정, 슬픔",아껴주는,"비장함, 슬픔, 아껴주는, 편안/쾌적, 환영/호의"
156,다들 울거들랑,,새벽이 올 때까지,윤동주,불안/걱정,"불안/걱정, 불쌍함/연민, 서러움, 슬픔, 당황/난처","당황/난처, 부담/안_내킴, 불쌍함/연민","기대감, 신기함/관심, 환영/호의, 행복"
157,젖을 먹이시오,,새벽이 올 때까지,윤동주,"비장함, 없음","비장함, 아껴주는",없음,비장함
158,이제 새벽이 오면,,새벽이 올 때까지,윤동주,기대감,"기대감, 불안/걱정","기대감, 기쁨","감동/감탄, 기대감, 기쁨, 비장함, 환영/호의"
159,나팔소리 들려 올 게외다.,,새벽이 올 때까지,윤동주,"기대감, 환영/호의, 즐거움/신남","기대감, 환영/호의, 안심/신뢰, 비장함, 불안/걱정","우쭐댐/무시함, 신기함/관심","감동/감탄, 기대감, 비장함, 환영/호의"
160,거 나를 부르는 것이 누구요.,,무서운 시간,윤동주,"기대감, 놀람, 의심/불신, 짜증, 신기함/관심, 부담/안_내킴","놀람, 의심/불신, 신기함/관심, 부담/안_내킴, 귀찮음, 불안/걱정","놀람, 당황/난처, 부담/안_내킴, 불안/걱정","경악, 공포/무서움, 불쌍함/연민, 서러움"
161,"가랑잎 이파리 푸르러 나오는 그늘인데,",,무서운 시간,윤동주,"편안/쾌적, 없음","없음, 편안/쾌적","감동/감탄, 기대감","놀람, 불안/걱정, 슬픔, 의심/불신"
162,나 아직 여기 호흡이 남아 있소.,,무서운 시간,윤동주,"공포/무서움, 당황/난처, 슬픔, 불안/걱정","공포/무서움, 당황/난처, 슬픔, 불안/걱정, 서러움, 힘듦/지침","불쌍함/연민, 비장함, 안타까움/실망, 절망, 힘듦/지침","비장함, 화남/분노, 서러움, 슬픔, 절망"
163,한 번도 손들어 보지 못한 나를,,무서운 시간,윤동주,"슬픔, 서러움, 패배/자기혐오, 죄책감, 당황/난처, 부담/안_내킴, 불안/걱정","서러움, 슬픔, 패배/자기혐오, 죄책감, 부끄러움, 안타까움/실망","부담/안_내킴, 불쌍함/연민, 서러움, 안타까움/실망, 패배/자기혐오","불안/걱정, 불평/불만, 슬픔, 서러움, 죄책감, 힘듦/지침"
164,손들어 표할 하늘도 없는 나를,,무서운 시간,윤동주,"절망, 패배/자기혐오, 슬픔, 힘듦/지침, 불안/걱정","절망, 패배/자기혐오, 슬픔, 불안/걱정, 서러움, 비장함, 안타까움/실망","당황/난처, 부담/안_내킴, 불쌍함/연민, 서러움, 슬픔, 안타까움/실망","절망, 힘듦/지침, 비장함, 슬픔"
165,어디에 내 한 몸 둘 하늘이 있어,,무서운 시간,윤동주,"안심/신뢰, 환영/호의, 고마움","불안/걱정, 불평/불만, 서러움, 슬픔","불평/불만, 안타까움/실망, 고마움","절망, 힘듦/지침, 패배/자기혐오"
166,나를 부르는 것이오?,,무서운 시간,윤동주,"당황/난처, 놀람, 부담/안_내킴","당황/난처, 놀람, 부담/안_내킴, 귀찮음, 불안/걱정","놀람, 의심/불신","놀람, 당황/난처, 의심/불신"
167,일이 마치고 내 죽는 날 아침에는,,무서운 시간,윤동주,"비장함, 기대감","비장함, 기대감, 서러움, 불안/걱정, 슬픔","비장함, 서러움, 지긋지긋, 패배/자기혐오, 안타까움/실망","비장함, 편안/쾌적"
168,서럽지도 않은 가랑잎이 떨어질 텐데……,,무서운 시간,윤동주,"서러움, 슬픔, 불안/걱정, 안타까움/실망","서러움, 슬픔, 안타까움/실망","신기함/관심, 불안/걱정","슬픔, 절망"
169,나를 부르지 마오.,,무서운 시간,윤동주,"귀찮음, 부담/안_내킴, 의심/불신, 불평/불만","귀찮음, 부담/안_내킴, 지긋지긋","귀찮음, 부담/안_내킴, 슬픔","부담/안_내킴, 절망, 화남/분노, 힘듦/지침"
170,흰 수건이 검은 머리를 두르고,,슬픈 족속,윤동주,"비장함, 없음","비장함, 없음","비장함, 기대감","불쌍함/연민, 슬픔, 힘듦/지침"
171,흰 고무신이 거친 발에 걸리우다,,슬픈 족속,윤동주,"힘듦/지침, 불쌍함/연민, 흐뭇함(귀여움/예쁨), 환영/호의","힘듦/지침, 불쌍함/연민, 슬픔, 아껴주는","부담/안_내킴, 불쌍함/연민, 서러움, 슬픔, 안타까움/실망","불쌍함/연민, 슬픔, 힘듦/지침"
